"X","Y","Z"
-3.323476,56.365912,0.000000
-3.311513,56.356513,0.000000
-3.294016,56.352769,0.000000
-3.251536,56.352851,0.000000
-3.230621,56.356024,0.000000
-3.188385,56.370185,0.000000
-3.149566,56.375556,0.000000
-2.950266,56.431871,0.000000
-2.939931,56.438544,0.000000
-2.930653,56.448065,0.000000
-2.909088,56.455715,0.000000
-2.884999,56.457994,0.000000
-2.867909,56.451850,0.000000
-2.850087,56.442043,0.000000
-2.814768,56.440416,0.000000
-2.802805,56.427965,0.000000
-2.800893,56.408922,0.000000
-2.808258,56.391059,0.000000
-2.821604,56.376166,0.000000
-2.837554,56.365912,0.000000
-2.812978,56.365912,0.000000
-2.809193,56.362860,0.000000
-2.804758,56.349107,0.000000
-2.802805,56.345404,0.000000
-2.791493,56.342475,0.000000
-2.782623,56.341620,0.000000
-2.775258,56.339423,0.000000
-2.768625,56.332343,0.000000
-2.677154,56.328437,0.000000
-2.655263,56.322170,0.000000
-2.621205,56.304429,0.000000
-2.613189,56.301907,0.000000
-2.576812,56.283922,0.000000
-2.576812,56.277777,0.000000
-2.630116,56.248521,0.000000
-2.648346,56.228705,0.000000
-2.672027,56.222398,0.000000
-2.720204,56.216295,0.000000
-2.783599,56.191962,0.000000
-2.806142,56.188381,0.000000
-2.830719,56.190741,0.000000
-2.892079,56.208889,0.000000
-2.940053,56.209418,0.000000
-2.964345,56.205634,0.000000
-2.974680,56.198310,0.000000
-2.982411,56.189114,0.000000
-3.035553,56.167914,0.000000
-3.091054,56.132270,0.000000
-3.107533,56.126899,0.000000
-3.127553,56.122870,0.000000
-3.138295,56.112209,0.000000
-3.152252,56.078518,0.000000
-3.163564,56.063870,0.000000
-3.178375,56.058092,0.000000
-3.248443,56.055976,0.000000
-3.268381,56.050930,0.000000
-3.303049,56.037543,0.000000
-3.342681,56.027167,0.000000
-3.381825,56.023383,0.000000
-3.420969,56.024888,0.000000
-3.582590,56.051744,0.000000
-3.671498,56.050849,0.000000
-3.710032,56.058092,0.000000
-3.745432,56.072211,0.000000
-3.746490,56.072781,0.000000
-3.782216,56.092190,0.000000
-3.803131,56.107123,0.000000
-3.817006,56.112250,0.000000
-3.837473,56.112616,0.000000
-3.837473,56.106431,0.000000
-3.777699,56.082831,0.000000
-3.769154,56.075141,0.000000
-3.760854,56.072455,0.000000
-3.726430,56.038031,0.000000
-3.721425,56.030707,0.000000
-3.712636,56.028998,0.000000
-3.693471,56.031155,0.000000
-3.686635,56.030707,0.000000
-3.679555,56.025458,0.000000
-3.674794,56.018704,0.000000
-3.668284,56.012763,0.000000
-3.656239,56.010199,0.000000
-3.599721,56.017239,0.000000
-3.577382,56.017035,0.000000
-3.405426,55.989732,0.000000
-3.358266,55.989732,0.000000
-3.340891,55.994452,0.000000
-3.331044,55.994086,0.000000
-3.320424,55.986029,0.000000
-3.303456,55.977607,0.000000
-3.121816,55.969306,0.000000
-3.114735,55.966132,0.000000
-3.096832,55.951972,0.000000
-3.090728,55.948188,0.000000
-3.078236,55.946845,0.000000
-3.015696,55.950507,0.000000
-2.939931,55.969306,0.000000
-2.916656,55.980618,0.000000
-2.900054,55.996161,0.000000
-2.882883,56.008490,0.000000
-2.857981,56.010199,0.000000
-2.863637,56.022284,0.000000
-2.866322,56.026760,0.000000
-2.870961,56.030707,0.000000
-2.852773,56.039781,0.000000
-2.823150,56.059760,0.000000
-2.802805,56.064846,0.000000
-2.635121,56.058051,0.000000
-2.615956,56.053168,0.000000
-2.587554,56.030951,0.000000
-2.569407,56.024482,0.000000
-2.578359,56.008002,0.000000
-2.583648,56.002753,0.000000
-2.569569,55.999945,0.000000
-2.544057,56.002672,0.000000
-2.528961,55.996568,0.000000
-2.524810,56.000556,0.000000
-2.514556,56.005764,0.000000
-2.507924,56.010199,0.000000
-2.493276,56.001532,0.000000
-2.452504,55.985256,0.000000
-2.414377,55.978339,0.000000
-2.350942,55.948188,0.000000
-2.307769,55.935004,0.000000
-2.146840,55.917304,0.000000
-2.138010,55.914618,0.000000
-2.132558,55.906440,0.000000
-2.131093,55.897203,0.000000
-2.128774,55.889797,0.000000
-2.120961,55.886705,0.000000
-2.099477,55.881781,0.000000
-2.080190,55.869371,0.000000
-2.022857,55.805487,0.000000
-2.009674,55.790839,0.000000
-1.877838,55.694892,0.000000
-1.863189,55.671617,0.000000
-1.853098,55.659329,0.000000
-1.831532,55.650702,0.000000
-1.826080,55.643622,0.000000
-1.821685,55.636420,0.000000
-1.816477,55.632880,0.000000
-1.807118,55.634508,0.000000
-1.800771,55.639228,0.000000
-1.796295,55.644232,0.000000
-1.792592,55.646552,0.000000
-1.781402,55.645657,0.000000
-1.768625,55.641913,0.000000
-1.756500,55.633612,0.000000
-1.747670,55.619208,0.000000
-1.767974,55.619208,0.000000
-1.767974,55.612982,0.000000
-1.755971,55.608873,0.000000
-1.720855,55.614569,0.000000
-1.699127,55.612982,0.000000
-1.630849,55.585110,0.000000
-1.630849,55.578274,0.000000
-1.636342,55.571682,0.000000
-1.634674,55.564399,0.000000
-1.627675,55.557115,0.000000
-1.617177,55.550279,0.000000
-1.630849,55.544135,0.000000
-1.630849,55.537299,0.000000
-1.622222,55.534084,0.000000
-1.602935,55.523627,0.000000
-1.602935,55.516791,0.000000
-1.611318,55.508043,0.000000
-1.606353,55.503241,0.000000
-1.596344,55.499905,0.000000
-1.589345,55.495673,0.000000
-1.584950,55.483710,0.000000
-1.581370,55.416653,0.000000
-1.583119,55.406928,0.000000
-1.588287,55.390570,0.000000
-1.589101,55.385199,0.000000
-1.589345,55.376532,0.000000
-1.583323,55.354722,0.000000
-1.558583,55.328925,0.000000
-1.555816,55.311347,0.000000
-1.557037,55.306627,0.000000
-1.558990,55.302069,0.000000
-1.561920,55.297797,0.000000
-1.565745,55.293647,0.000000
-1.570058,55.286200,0.000000
-1.568227,55.279608,0.000000
-1.564280,55.273261,0.000000
-1.562082,55.266669,0.000000
-1.556467,55.255032,0.000000
-1.543935,55.243883,0.000000
-1.520985,55.229397,0.000000
-1.529164,55.216254,0.000000
-1.524078,55.210110,0.000000
-1.514272,55.204779,0.000000
-1.507965,55.194648,0.000000
-1.510813,55.184760,0.000000
-1.517568,55.176215,0.000000
-1.522125,55.167467,0.000000
-1.517934,55.157131,0.000000
-1.500722,55.141791,0.000000
-1.495961,55.134589,0.000000
-1.492543,55.112982,0.000000
-1.483754,55.091702,0.000000
-1.480092,55.085395,0.000000
-1.476226,55.083645,0.000000
-1.463287,55.080308,0.000000
-1.459584,55.078599,0.000000
-1.458079,55.075751,0.000000
-1.454701,55.067572,0.000000
-1.438303,55.042304,0.000000
-1.429189,55.033271,0.000000
-1.424062,55.024359,0.000000
-1.419504,55.011705,0.000000
-1.412913,55.000312,0.000000
-1.401519,54.995429,0.000000
-1.398183,54.992621,0.000000
-1.370229,54.975531,0.000000
-1.362660,54.964789,0.000000
-1.361724,54.958686,0.000000
-1.363515,54.954250,0.000000
-1.364003,54.948188,0.000000
-1.362864,54.925930,0.000000
-1.360341,54.917060,0.000000
-1.353139,54.913520,0.000000
-1.355824,54.904283,0.000000
-1.296783,54.779934,0.000000
-1.275461,54.748440,0.000000
-1.240468,54.721666,0.000000
-1.225087,54.715033,0.000000
-1.172231,54.701239,0.000000
-1.172231,54.693793,0.000000
-1.192616,54.693793,0.000000
-1.192454,54.689276,0.000000
-1.190785,54.686184,0.000000
-1.185170,54.680080,0.000000
-1.182729,54.672065,0.000000
-1.178822,54.664740,0.000000
-1.172922,54.658352,0.000000
-1.164703,54.652777,0.000000
-1.172922,54.644192,0.000000
-1.182485,54.639228,0.000000
-1.206288,54.632961,0.000000
-1.203725,54.625718,0.000000
-1.198842,54.621568,0.000000
-1.191803,54.619778,0.000000
-1.182118,54.619289,0.000000
-1.179351,54.620917,0.000000
-1.178456,54.624213,0.000000
-1.176991,54.626776,0.000000
-1.172231,54.626125,0.000000
-1.169586,54.623603,0.000000
-1.165435,54.618720,0.000000
-1.162953,54.613959,0.000000
-1.164703,54.611802,0.000000
-1.152659,54.613186,0.000000
-1.146718,54.618476,0.000000
-1.138051,54.646552,0.000000
-1.120595,54.633002,0.000000
-1.103627,54.624661,0.000000
-1.084218,54.620429,0.000000
-1.042063,54.617092,0.000000
-0.993479,54.598131,0.000000
-0.787913,54.560777,0.000000
-0.562978,54.477362,0.000000
-0.534657,54.461005,0.000000
-0.522857,54.447089,0.000000
-0.521799,54.438056,0.000000
-0.523590,54.430243,0.000000
-0.520416,54.420071,0.000000
-0.509999,54.411566,0.000000
-0.476796,54.397203,0.000000
-0.462758,54.388983,0.000000
-0.447743,54.373196,0.000000
-0.430572,54.349311,0.000000
-0.418446,54.324042,0.000000
-0.418040,54.303941,0.000000
-0.414540,54.297309,0.000000
-0.409006,54.290758,0.000000
-0.401194,54.285631,0.000000
-0.390736,54.283515,0.000000
-0.394887,54.273139,0.000000
-0.397572,54.269192,0.000000
-0.389272,54.264065,0.000000
-0.370473,54.247707,0.000000
-0.362782,54.242499,0.000000
-0.322011,54.236070,0.000000
-0.311920,54.231635,0.000000
-0.300120,54.224677,0.000000
-0.277089,54.217760,0.000000
-0.269602,54.207668,0.000000
-0.262563,54.181098,0.000000
-0.260365,54.176988,0.000000
-0.233876,54.160468,0.000000
